	title	label
0	Rate monotonic scheduling algorithm: Exact characterization and average case behavior	2
1	Specifying real-time properties with metric temporal logic	0
2	Stack-based scheduling of realtime processes	2
3	Aperiodic task scheduling for Hard-Real-Time systems	0
4	Algorithms and complexity concerning the preemptive scheduling of periodic, real-time tasks on one processor	0
5	Calculating the maximum execution time of real-time programs	0
6	Fixed priority scheduling of periodic task sets with arbitrary deadlines	2
7	Preemptively scheduling hard-real-time sporadic tasks on one processor	2
8	On non-preemptive scheduling of periodic and sporadic tasks	2
9	Allocating hard real-time tasks: An NP-Hard problem made easy	3
10	An optimal algorithm for scheduling soft-aperiodic tasks in fixed-priority preemptive systems	0
11	Predicting program execution times by analyzing static and dynamic program paths	0
12	Software architecture for hard real-time applications: Cyclic executives vs. fixed priority executives	0
13	Dynamic priority ceilings: A concurrency control protocol for real-time systems	2
14	Dynamic scheduling of real-time tasks under precedence constraints	2
15	On the competitiveness of on-line real-time task scheduling	2
16	Quantitative temporal reasoning	3
17	Mode change protocols for priority-driven preemptive scheduling	2
18	Data access scheduling in firm real-time database systems	0
19	A stack-based resource allocation policy for realtime processes	2
20	Earliest deadline scheduling for real-time database systems	0
21	The cyclic executive model and Ada	0
22	Scheduling slack time in fixed priority pre-emptive systems	2
23	Architectural foundations for real-time performance in intelligent agents	0
24	Fixed priority scheduling of periodic task sets with arbitrary deadlines	2
25	What is predictability for real-time systems?	0
26	Preemptively scheduling hard-real-time sporadic tasks on one processor	2
27	Performance evaluation of two new disk scheduling algorithms for real-time systems	0
28	Load adjustment in adaptive real-time systems	0
29	Non-blocking write protocol NBW: A solution to a real-time synchronization problem	0
30	Accounting for interrupt handling costs in dynamic priority task systems	2
31	SMART (strategic memory allocation for real-time) cache design	2
32	Pipelined processors and worst case execution times	0
33	Experimental evaluation of real-time transaction processing	0
34	Mode changes in priority preemptively scheduled systems	2
35	Fixed priority scheduling periodic tasks with varying execution priority	2
36	Building a predictable avionics platform in Ada: A case study	0
37	Priority inheritance in soft real-time databases	0
38	A calculus for communicating systems with time and probabilities	3
39	Scheduling distance-constrained real-time tasks	0
40	Run-time monitoring of real-time systems	0
41	Automatic symbolic verification of embedded systems	0
42	An event model for deadline verification of hard real-time systems	0
43	An implementation of three algorithms for timing verification based on automata emptiness	0
44	Scheduling I/O requests with deadlines: A performance evaluation	0
45	Using dynamic adjustment of serialization order for real-time database systems	0
46	On-line scheduling of hard deadline aperiodic tasks in fixed-priority systems	2
47	Dover: An optimal on-line scheduling algorithm for overloaded real-time systems	2
48	The end of the line for static cyclic scheduling?	2
49	Framework for reasoning about time and reliability	0
50	Optimal synchronous capacity allocation for hard real-time communications with the timed token protocol	0
51	Synchronous atomic broadcast for redundant broadcast channels	3
52	A retargetable technique for predicting execution time	0
53	Extending a blackboard architecture for approximate processing	0
54	Responsive, deterministic IEEE 802.5 token ring scheduling	0
55	REAL-TIME DYNAMICS OF MANIPULATION ROBOTS.	0
56	Giving semantics to SA/RT by means of high-level timed Petri nets	0
57	Hartstone Uniprocessor Benchmark: Definitions and experiments for real-time systems	2
58	Dynamic real-time optimistic concurrency control	0
59	A local area network architecture for communication in distributed real-time systems	0
60	SSP: A semantics-based protocol for real-time data access	2
61	Scheduling sporadic tasks with shared resources in hard-real-time systems	2
62	On using priority inheritance in real-time databases	0
63	Dynamic real-time optimistic concurrency control	0
64	Timing-based mutual exclusion	0
65	Issues in real-time data management	0
