	dominant_topic	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
0	16	0.127311	0.004937	0.004146	0.003573	0.003140	0.002800	0.002527	0.002302	0.002114	0.001954	0.001817	0.001698	0.001593	0.001501	0.001419	0.300192	0.535760	0.001218
1	5	0.033547	0.027157	0.022798	0.019650	0.017266	0.765382	0.013895	0.012659	0.011625	0.010747	0.009992	0.009337	0.008762	0.008254	0.007801	0.007396	0.007031	0.006700
2	15	0.004201	0.003394	0.305578	0.002456	0.002158	0.001925	0.001737	0.001582	0.001453	0.001343	0.001249	0.001167	0.001095	0.001032	0.000975	0.666937	0.000879	0.000837
3	15	0.007463	0.006034	0.005067	0.004367	0.003837	0.003422	0.003088	0.002813	0.002583	0.002388	0.002221	0.002075	0.001947	0.001834	0.001734	0.946076	0.001562	0.001489
4	15	0.006398	0.005171	0.004343	0.003743	0.003289	0.002933	0.002647	0.002411	0.002214	0.002047	0.001903	0.001779	0.001669	0.001572	0.283529	0.671735	0.001339	0.001276
5	12	0.044731	0.036217	0.030398	0.026200	0.023021	0.020531	0.018526	0.016878	0.015500	0.014329	0.013323	0.012449	0.678319	0.011005	0.010402	0.009861	0.009374	0.008933
6	15	0.007937	0.006393	0.005365	0.004624	0.004063	0.003623	0.220892	0.002979	0.002735	0.002529	0.002351	0.002197	0.002062	0.001942	0.001836	0.725242	0.001654	0.001576
7	15	0.008388	0.006787	0.005700	0.004913	0.004317	0.003850	0.003474	0.003165	0.002906	0.002687	0.002498	0.002334	0.002191	0.002064	0.287700	0.653594	0.001758	0.001675
8	15	0.005368	0.004344	0.003648	0.003144	0.002763	0.002464	0.002223	0.002025	0.001860	0.001720	0.001599	0.001494	0.001402	0.001321	0.001248	0.961181	0.001125	0.001072
9	5	0.272060	0.013579	0.011400	0.009825	0.008633	0.340869	0.006947	0.006329	0.005812	0.005374	0.004996	0.004669	0.290914	0.004127	0.003901	0.003698	0.003515	0.003350
10	15	0.005597	0.004526	0.003800	0.003275	0.002878	0.002567	0.002316	0.002110	0.001938	0.001791	0.001666	0.001556	0.001460	0.001376	0.001300	0.806836	0.153891	0.001117
11	12	0.016815	0.013575	0.011399	0.009825	0.008633	0.148537	0.006947	0.006329	0.005812	0.005374	0.004996	0.004668	0.738496	0.004127	0.003901	0.003698	0.003515	0.003350
12	16	0.007895	0.006389	0.005365	0.004624	0.133251	0.003623	0.003270	0.002979	0.002735	0.002529	0.002351	0.002197	0.002062	0.001942	0.001836	0.331638	0.483738	0.001577
13	15	0.006398	0.005172	0.203749	0.003743	0.003289	0.002933	0.002647	0.002411	0.002214	0.002047	0.001903	0.001779	0.001669	0.001572	0.001486	0.592294	0.001339	0.163354
14	15	0.138566	0.004178	0.003508	0.003023	0.002656	0.002369	0.002138	0.001948	0.001789	0.001653	0.001537	0.001437	0.001348	0.001270	0.001200	0.829268	0.001082	0.001031
15	15	0.006393	0.005172	0.004344	0.003744	0.003289	0.002934	0.002647	0.002412	0.002215	0.002047	0.001904	0.001779	0.118554	0.001572	0.164619	0.539868	0.135231	0.001276
16	5	0.118955	0.008359	0.007015	0.090964	0.005313	0.650429	0.004275	0.003895	0.003577	0.003307	0.003075	0.002873	0.002696	0.002540	0.086226	0.002276	0.002163	0.002062
17	16	0.016830	0.013577	0.011404	0.009827	0.008635	0.007700	0.006949	0.006331	0.117351	0.005374	0.004997	0.004669	0.004382	0.004128	0.003901	0.003699	0.766896	0.003350
18	17	0.005163	0.004177	0.003508	0.003023	0.002657	0.002369	0.038185	0.001948	0.001789	0.001653	0.001537	0.001437	0.001348	0.001270	0.001200	0.001138	0.001082	0.926517
19	2	0.005610	0.004525	0.527269	0.003275	0.002878	0.002566	0.002316	0.002110	0.001938	0.001791	0.001665	0.001556	0.001460	0.001376	0.001300	0.436076	0.001172	0.001117
20	17	0.053956	0.007240	0.006080	0.005240	0.004605	0.004106	0.003706	0.003376	0.003100	0.002866	0.002665	0.002490	0.002337	0.002201	0.002081	0.288954	0.001875	0.603123
