	title	label
0	Rate monotonic scheduling algorithm: Exact characterization and average case behavior	1
1	Specifying real-time properties with metric temporal logic	1
2	Stack-based scheduling of realtime processes	3
3	Aperiodic task scheduling for Hard-Real-Time systems	1
4	Algorithms and complexity concerning the preemptive scheduling of periodic, real-time tasks on one processor	4
5	Calculating the maximum execution time of real-time programs	3
6	Fixed priority scheduling of periodic task sets with arbitrary deadlines	4
7	Preemptively scheduling hard-real-time sporadic tasks on one processor	3
8	On non-preemptive scheduling of periodic and sporadic tasks	0
9	Allocating hard real-time tasks: An NP-Hard problem made easy	0
10	An optimal algorithm for scheduling soft-aperiodic tasks in fixed-priority preemptive systems	3
11	Predicting program execution times by analyzing static and dynamic program paths	4
12	Software architecture for hard real-time applications: Cyclic executives vs. fixed priority executives	2
13	Dynamic priority ceilings: A concurrency control protocol for real-time systems	0
14	Dynamic scheduling of real-time tasks under precedence constraints	3
15	On the competitiveness of on-line real-time task scheduling	0
16	Quantitative temporal reasoning	0
17	Mode change protocols for priority-driven preemptive scheduling	0
18	Data access scheduling in firm real-time database systems	1
19	A stack-based resource allocation policy for realtime processes	2
20	Earliest deadline scheduling for real-time database systems	4
21	The cyclic executive model and Ada	4
22	Scheduling slack time in fixed priority pre-emptive systems	0
23	Architectural foundations for real-time performance in intelligent agents	3
24	Fixed priority scheduling of periodic task sets with arbitrary deadlines	2
25	What is predictability for real-time systems?	1
26	Preemptively scheduling hard-real-time sporadic tasks on one processor	0
27	Performance evaluation of two new disk scheduling algorithms for real-time systems	2
28	Load adjustment in adaptive real-time systems	0
29	Non-blocking write protocol NBW: A solution to a real-time synchronization problem	2
30	Accounting for interrupt handling costs in dynamic priority task systems	1
31	SMART (strategic memory allocation for real-time) cache design	3
32	Pipelined processors and worst case execution times	0
33	Experimental evaluation of real-time transaction processing	0
34	Mode changes in priority preemptively scheduled systems	4
35	Fixed priority scheduling periodic tasks with varying execution priority	3
36	Building a predictable avionics platform in Ada: A case study	2
37	Priority inheritance in soft real-time databases	3
38	A calculus for communicating systems with time and probabilities	0
39	Scheduling distance-constrained real-time tasks	0
40	Run-time monitoring of real-time systems	4
41	Automatic symbolic verification of embedded systems	0
42	An event model for deadline verification of hard real-time systems	4
43	An implementation of three algorithms for timing verification based on automata emptiness	0
44	Scheduling I/O requests with deadlines: A performance evaluation	4
45	Using dynamic adjustment of serialization order for real-time database systems	1
46	On-line scheduling of hard deadline aperiodic tasks in fixed-priority systems	3
47	Dover: An optimal on-line scheduling algorithm for overloaded real-time systems	1
48	The end of the line for static cyclic scheduling?	4
49	Framework for reasoning about time and reliability	3
50	Optimal synchronous capacity allocation for hard real-time communications with the timed token protocol	1
51	Synchronous atomic broadcast for redundant broadcast channels	3
52	A retargetable technique for predicting execution time	0
53	Extending a blackboard architecture for approximate processing	2
54	Responsive, deterministic IEEE 802.5 token ring scheduling	4
55	REAL-TIME DYNAMICS OF MANIPULATION ROBOTS.	2
56	Giving semantics to SA/RT by means of high-level timed Petri nets	0
57	Hartstone Uniprocessor Benchmark: Definitions and experiments for real-time systems	0
58	Dynamic real-time optimistic concurrency control	1
59	A local area network architecture for communication in distributed real-time systems	0
60	SSP: A semantics-based protocol for real-time data access	2
61	Scheduling sporadic tasks with shared resources in hard-real-time systems	0
62	On using priority inheritance in real-time databases	1
63	Dynamic real-time optimistic concurrency control	3
64	Timing-based mutual exclusion	3
65	Issues in real-time data management	0
66	Experiments with a program timing tool based on source-level timing schema	4
67	Queuing spin lock algorithms to support timing predictability	1
68	A stack-based resource allocation policy for realtime processes	2
69	Addressing real-time constraints in the design of autonomous agents	2
