	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
0	0.094335	0.003031	0.003031	0.003031	0.003031	0.080658	0.003031	0.003031	0.003031	0.003031	0.003031	0.429476	0.003031	0.003031	0.362196
1	0.016667	0.016667	0.016667	0.016667	0.016667	0.016667	0.016667	0.016667	0.766665	0.016667	0.016667	0.016667	0.016667	0.016667	0.016667
2	0.002083	0.002083	0.002083	0.002083	0.677191	0.002083	0.002083	0.002083	0.002083	0.002083	0.226306	0.071502	0.002083	0.002083	0.002083
3	0.003704	0.003704	0.003704	0.003704	0.865665	0.003704	0.003704	0.003704	0.003704	0.003704	0.003704	0.003704	0.003704	0.003704	0.086184
4	0.003175	0.003175	0.003175	0.003175	0.083501	0.003175	0.003175	0.003175	0.003175	0.050793	0.003175	0.827609	0.003175	0.003175	0.003175
5	0.022222	0.022222	0.022222	0.022222	0.022222	0.022222	0.022222	0.688888	0.022222	0.022222	0.022222	0.022222	0.022222	0.022222	0.022222
6	0.126991	0.003922	0.003922	0.003922	0.749909	0.003922	0.003922	0.003922	0.003922	0.003922	0.003922	0.003922	0.003922	0.003922	0.076036
7	0.004167	0.004167	0.004167	0.004167	0.004167	0.004167	0.004167	0.004167	0.004167	0.004167	0.004167	0.941665	0.004167	0.004167	0.004167
8	0.002667	0.002667	0.002667	0.002667	0.674539	0.002667	0.002667	0.002667	0.002667	0.002667	0.002667	0.290792	0.002667	0.002667	0.002667
9	0.162485	0.008333	0.008333	0.008333	0.008333	0.008333	0.476799	0.260716	0.008333	0.008333	0.008333	0.008333	0.008333	0.008333	0.008333
10	0.002778	0.002778	0.002778	0.002778	0.901802	0.002778	0.002778	0.002778	0.002778	0.002778	0.002778	0.002778	0.002778	0.002778	0.062084
11	0.008334	0.008334	0.008334	0.008334	0.008334	0.008334	0.008334	0.628372	0.138160	0.008334	0.133461	0.008334	0.008334	0.008334	0.008334
12	0.003922	0.003922	0.003922	0.127182	0.605688	0.003922	0.003922	0.003922	0.003922	0.003922	0.003922	0.003922	0.003922	0.003922	0.220068
13	0.003175	0.003175	0.003175	0.003175	0.627478	0.003175	0.003175	0.003175	0.003175	0.003175	0.165905	0.003175	0.003175	0.003175	0.168520
14	0.002564	0.002564	0.153266	0.002564	0.653750	0.002564	0.002564	0.002564	0.002564	0.002564	0.002564	0.162214	0.002564	0.002564	0.002564
15	0.003175	0.003175	0.003175	0.003175	0.003175	0.003175	0.003175	0.116400	0.051507	0.202678	0.003175	0.594489	0.003175	0.003175	0.003175
16	0.085949	0.005128	0.005128	0.005128	0.005128	0.083300	0.118548	0.005128	0.655790	0.005128	0.005128	0.005128	0.005128	0.005128	0.005128
17	0.008334	0.008334	0.008334	0.008334	0.730977	0.008334	0.008334	0.008334	0.008334	0.008334	0.008334	0.008334	0.008334	0.160675	0.008334
18	0.002564	0.002564	0.002564	0.002564	0.002564	0.002564	0.002564	0.002564	0.002564	0.002564	0.002564	0.002564	0.002564	0.002564	0.964100
19	0.002778	0.002778	0.002778	0.002778	0.466306	0.002778	0.285327	0.002778	0.002778	0.002778	0.215031	0.002778	0.002778	0.002778	0.002778
20	0.004445	0.004445	0.190232	0.004445	0.425388	0.004445	0.004445	0.004445	0.004445	0.004445	0.004445	0.004445	0.004445	0.004445	0.331042
21	0.013334	0.013334	0.013334	0.613332	0.013334	0.013334	0.013334	0.013334	0.013334	0.013334	0.013334	0.213331	0.013334	0.013334	0.013334
22	0.003922	0.003922	0.003922	0.003922	0.683947	0.003922	0.197608	0.003922	0.003922	0.003922	0.071383	0.003922	0.003922	0.003922	0.003922
23	0.011112	0.011112	0.011112	0.011112	0.011112	0.011112	0.352153	0.011112	0.503396	0.011112	0.011112	0.011112	0.011112	0.011112	0.011112
24	0.145407	0.004445	0.004445	0.004445	0.796815	0.004445	0.004445	0.004445	0.004445	0.004445	0.004445	0.004445	0.004445	0.004445	0.004445
25	0.007408	0.007408	0.007408	0.007408	0.007408	0.007408	0.896283	0.007408	0.007408	0.007408	0.007408	0.007408	0.007408	0.007408	0.007408
26	0.004167	0.004167	0.004167	0.004167	0.004167	0.004167	0.004167	0.004167	0.004167	0.004167	0.004167	0.941665	0.004167	0.004167	0.004167
27	0.003704	0.217591	0.003704	0.003704	0.451441	0.003704	0.003704	0.003704	0.071604	0.003704	0.003704	0.003704	0.003704	0.003704	0.218616
28	0.004167	0.004167	0.197890	0.004167	0.494310	0.004167	0.004167	0.004167	0.004167	0.004167	0.004167	0.257797	0.004167	0.004167	0.004167
29	0.011112	0.011112	0.011112	0.011112	0.349799	0.011112	0.011112	0.011112	0.011112	0.011112	0.011112	0.011112	0.307665	0.011112	0.209196
30	0.004762	0.004762	0.004762	0.004762	0.345385	0.004762	0.004762	0.004762	0.156786	0.004762	0.084760	0.360686	0.004762	0.004762	0.004762
31	0.005556	0.005556	0.005556	0.005556	0.785120	0.005556	0.005556	0.142651	0.005556	0.005556	0.005556	0.005556	0.005556	0.005556	0.005556
32	0.004762	0.004762	0.004762	0.004762	0.159990	0.004762	0.004762	0.778105	0.004762	0.004762	0.004762	0.004762	0.004762	0.004762	0.004762
33	0.005128	0.005128	0.005128	0.005128	0.193681	0.005128	0.005128	0.005128	0.005128	0.005128	0.005128	0.005128	0.104694	0.005128	0.640085
34	0.004445	0.004445	0.004445	0.004445	0.703356	0.004445	0.238862	0.004445	0.004445	0.004445	0.004445	0.004445	0.004445	0.004445	0.004445
