keyword	count	label
time	16742	
system	16127	
real	10471	
task	6485	
application	5966	
based	5841	
algorithm	5473	
data	5012	
model	4707	
scheduling	3950	
performance	3950	
approach	3795	
analysis	3584	
design	3368	
control	3261	
network	2990	
method	2935	
used	2912	
proposed	2891	
result	2840	
technique	2631	
architecture	2622	
problem	2588	
resource	2552	
level	2482	
processor	2468	
high	2442	
software	2433	
implementation	2419	
case	2373	
distributed	2343	
execution	2318	
simulation	2269	
image	2096	
different	2079	
processing	2035	
use	2025	
requirement	2012	
service	2008	
memory	2006	
embedded	1998	
object	1925	
set	1849	
component	1837	
process	1819	
timing	1803	
deadline	1755	
hardware	1718	
communication	1714	
constraint	1680	
environment	1662	
energy	1662	
number	1604	
priority	1592	
dynamic	1580	
scheme	1571	
propose	1549	
work	1541	
platform	1525	
first	1499	
protocol	1491	
support	1490	
however	1460	
framework	1458	
power	1446	
information	1439	
development	1415	
test	1410	
rate	1406	
experiment	1398	
provide	1392	
order	1367	
well	1358	
video	1343	
event	1342	
presented	1304	
study	1300	
solution	1300	
schedulability	1298	
developed	1294	
multi	1260	
efficient	1230	
many	1230	
bound	1229	
device	1219	
end	1213	
cache	1187	
present	1185	
computing	1168	
mechanism	1156	
implemented	1142	
low	1140	
management	1140	
state	1138	
tool	1136	
program	1110	
quality	1106	
worst	1100	
core	1089	
non	1088	
technology	1087	
user	1081	
feature	1074	
sensor	1060	
may	1059	
provides	1057	
code	1048	
cost	1042	
specification	1038	
critical	1036	
multiple	1035	
hard	1031	
need	1002	
node	1002	
standard	980	
several	957	
existing	955	
guarantee	953	
fault	952	
language	946	
behavior	943	
complexity	939	
allows	934	
access	929	
delay	923	
run	921	
important	920	
speed	918	
property	916	
operation	914	
signal	900	
experimental	893	
due	891	
computation	883	
operating	878	
message	873	
designed	871	
make	868	
parallel	857	
called	856	
compared	854	
qos	854	
server	850	
global	850	
within	848	
function	836	
detector	826	
overhead	823	
trigger	822	
single	815	
given	811	
space	809	
interface	803	
response	802	
issue	800	
research	797	
fpga	791	
parameter	790	
complex	788	
wcet	777	
optimal	776	
current	776	
computer	775	
address	773	
change	767	
possible	764	
utilization	762	
consumption	762	
without	760	
programming	751	
multiprocessor	749	
must	747	
area	744	
part	739	
evaluation	733	
size	728	
policy	718	
available	718	
reduce	710	
chip	710	
condition	708	
modeling	702	
novel	702	
specific	694	
three	690	
achieve	688	
term	687	
scheduler	683	
various	682	
line	681	
mobile	681	
point	679	
required	678	
static	677	
example	674	
describe	673	
wireless	673	
temporal	672	
detection	672	
schedule	671	
general	666	
applied	664	
periodic	663	
channel	663	
module	663	
fixed	657	
main	657	
flow	657	
mode	655	
context	654	
virtual	653	
structure	651	
thus	647	
bandwidth	645	
fast	642	
frame	640	
java	638	
demonstrate	633	
challenge	629	
digital	629	
way	622	
source	622	
cpu	622	
error	622	
block	619	
acquisition	616	
computational	612	
concept	611	
transaction	610	
oriented	607	
strategy	606	
describes	605	
domain	603	
middleware	603	
efficiency	598	
controller	595	
range	593	
significant	591	
better	588	
improve	587	
monitoring	585	
since	585	
increase	584	
value	583	
optimization	582	
scale	580	
safety	579	
medium	578	
type	576	
discus	573	
integrated	573	
meet	572	
even	570	
kernel	567	
capability	565	
input	565	
demand	563	
focus	562	
known	560	
frequency	558	
particular	556	
latency	555	
simple	554	
synchronization	553	
edf	550	
database	548	
field	548	
limited	546	
second	546	
clock	545	
among	541	
allocation	540	
key	537	
class	536	
often	536	
unit	534	
workload	531	
traffic	531	
shared	528	
measurement	527	
pattern	525	
methodology	522	
period	519	
mean	518	
configuration	517	
machine	516	
us	514	
addition	513	
motion	512	
significantly	511	
job	510	
therefore	509	
previous	507	
advantage	507	
verification	504	
average	503	
running	502	
path	499	
purpose	499	
layer	499	
require	497	
adaptive	494	
thread	494	
target	492	
multimedia	492	
evaluate	489	
local	488	
small	486	
like	486	
stream	485	
effective	484	
best	482	
able	481	
load	481	
preemptive	480	
including	479	
implement	479	
estimation	479	
develop	478	
physical	476	
requires	474	
resolution	474	
failure	473	
generation	473	
improvement	472	
described	471	
online	469	
link	469	
traditional	468	
le	465	
higher	465	
characteristic	465	
instruction	464	
accuracy	464	
obtained	462	
considered	462	
factor	461	
aspect	460	
transmission	455	
tracking	455	
camera	452	
packet	451	
phase	450	
reliability	449	
request	448	
performed	448	
providing	446	
effect	445	
increasing	445	
finally	442	
take	441	
provided	440	
show	438	
allow	434	
board	434	
distribution	432	
necessary	431	
integration	428	
prototype	426	
common	421	
filter	421	
bit	418	
related	416	
step	415	
science	415	
recent	413	
achieved	412	
extension	409	
maximum	408	
perform	408	
soft	406	
defined	406	
scenario	405	
interaction	402	
introduce	401	
goal	401	
decision	400	
functional	400	
amount	399	
give	398	
lead	397	
runtime	394	
sequence	394	
formal	393	
search	393	
via	392	
throughput	391	
highly	390	
self	389	
scheduled	389	
future	389	
pixel	388	
feasibility	385	
criticality	383	
linear	381	
wide	379	
benefit	379	
discussed	378	
overall	378	
needed	378	
world	378	
consider	377	
form	375	
consists	373	
open	372	
aware	371	
suitable	370	
bus	370	
impact	369	
offer	368	
according	367	
driven	365	
loop	365	
output	365	
proposes	365	
linux	365	
lower	364	
prediction	364	
group	364	
reduction	364	
vision	364	
furthermore	363	
agent	362	
voltage	362	
array	359	
web	359	
functionality	358	
project	358	
triggered	357	
infrastructure	357	
enables	356	
evaluated	355	
industrial	355	
mapping	355	
much	355	
version	354	
introduced	353	
predictable	353	
activity	353	
art	352	
independent	351	
testing	351	
security	351	
cluster	351	
coding	351	
view	350	
sporadic	349	
efficiently	349	
heterogeneous	349	
major	348	
author	346	
full	346	
graph	346	
modern	344	
analyze	342	
preemption	342	
knowledge	341	
recognition	341	
become	340	
theory	340	
built	340	
practical	338	
generated	337	
building	336	
storage	336	
heuristic	335	
made	335	
effectiveness	335	
daq	335	
respect	334	
tolerance	333	
estimate	332	
hybrid	331	
dynamically	330	
accurate	329	
assignment	328	
buffer	327	
per	327	
experience	327	
noise	327	
long	326	
flexible	326	
good	326	
variable	326	
sub	326	
complete	325	
moreover	324	
objective	324	
region	324	
partitioning	324	
specified	323	
circuit	322	
effort	321	
electronics	321	
fully	320	
logic	318	
improved	318	
timed	316	
feedback	315	
rt	315	
compare	314	
account	314	
element	314	
description	313	
still	313	
client	313	
contribution	313	
abstraction	312	
total	312	
capacity	311	
metric	308	
year	307	
potential	307	
cycle	306	
find	306	
stage	306	
readout	306	
flexibility	305	
together	303	
extended	302	
conventional	302	
basic	301	
mixed	301	
gpu	301	
right	300	
benchmark	300	
transfer	300	
especially	298	
could	298	
associated	297	
aim	297	
detail	296	
upon	295	
reduced	295	
reference	295	
widely	295	
engineering	295	
hand	294	
internet	294	
synchronous	293	
derived	291	
pre	289	
reducing	287	
ensure	286	
paradigm	284	
measure	283	
recently	283	
ratio	282	
window	282	
usage	282	
interest	281	
usually	281	
ii	281	
includes	281	
difficult	279	
additional	279	
feasible	278	
miss	278	
hierarchical	278	
inter	278	
programmable	277	
allowing	277	
vehicle	276	
switch	275	
co	275	
procedure	275	
collection	275	
sufficient	274	
help	273	
upper	273	
individual	271	
reduces	271	
ability	270	
handle	270	
cannot	270	
obtain	270	
include	270	
executed	270	
front	270	
guaranteed	268	
determine	268	
automatically	268	
earliest	267	
reserved	267	
saving	267	
predictability	266	
enable	266	
dedicated	266	
interference	266	
rule	265	
making	265	
sharing	264	
exploit	264	
original	264	
representation	264	
scalable	263	
although	262	
face	262	
constrained	262	
combination	262	
derive	261	
loss	260	
automatic	260	
read	259	
currently	258	
position	258	
four	258	
hence	258	
color	258	
compression	258	
human	257	
reliable	257	
corba	257	
minimum	255	
cell	255	
update	255	
manner	254	
special	254	
tree	254	
extensive	254	
product	254	
useful	253	
tolerant	253	
concurrent	252	
active	252	
routing	252	
interval	251	
designer	251	
free	250	
developing	249	
selection	249	
ethernet	249	
minimize	248	
automaton	248	
comparison	248	
external	248	
robust	248	
certain	246	
done	246	
resulting	246	
every	246	
situation	246	
chapter	246	
implementing	245	
appropriate	244	
alternative	244	
robot	243	
net	243	
bounded	242	
commercial	242	
probability	241	
combine	241	
transformation	241	
monitor	241	
capable	241	
compute	240	
similar	239	
supporting	239	
subsystem	239	
article	238	
across	238	
location	238	
multicore	238	
simulator	237	
early	237	
checking	236	
arbitrary	236	
life	236	
advanced	236	
mhz	236	
variation	235	
either	234	
detailed	234	
actual	233	
extend	232	
precision	232	
sampling	232	
assumption	231	
report	231	
exact	230	
concurrency	230	
correctness	230	
adaptation	230	
build	229	
temperature	229	
semantics	229	
remote	229	
content	229	
physic	229	
tested	228	
typically	228	
underlying	228	
investigate	227	
discrete	227	
towards	227	
deal	226	
along	226	
controlled	226	
visual	226	
constant	225	
disk	225	
increasingly	225	
challenging	225	
next	224	
essential	224	
action	224	
matching	224	
recovery	224	
atlas	224	
illustrate	223	
identify	223	
compiler	223	
approximation	223	
correct	223	
easily	223	
industry	222	
scaling	221	
prove	220	
continuous	220	
scalability	220	
spatial	220	
distance	219	
aperiodic	219	
would	219	
effectively	219	
grid	219	
polynomial	218	
beam	218	
specifically	217	
increased	217	
introduces	217	
corresponding	216	
presence	216	
background	215	
taking	214	
segmentation	214	
pipeline	213	
library	213	
found	213	
reservation	213	
transform	213	
reconfigurable	212	
connected	212	
optical	212	
track	212	
considering	211	
applying	211	
imaging	211	
partitioned	211	
blocking	210	
deterministic	210	
asynchronous	210	
generate	210	
detect	210	
gate	210	
directly	209	
demonstrated	209	
timeliness	209	
uml	209	
realtime	208	
expected	208	
utility	208	
another	207	
jitter	207	
behaviour	207	
reconstruction	207	
lhc	207	
avoid	206	
produce	206	
studied	206	
whether	205	
variety	205	
limitation	205	
igi	205	
monotonic	204	
role	204	
consistency	203	
achieves	203	
profile	203	
basis	202	
safe	202	
transition	202	
optimized	202	
construct	201	
architectural	201	
least	200	
concern	200	
improves	199	
cause	199	
instead	199	
developer	199	
degree	199	
designing	198	
trade	197	
executing	197	
analyzed	197	
flash	197	
define	196	
learning	196	
realistic	195	
interrupt	195	
smart	195	
handling	195	
capture	195	
threshold	195	
arrival	194	
execute	194	
deployment	194	
supported	194	
dimensional	194	
typical	193	
partition	193	
scene	193	
kind	192	
achieving	192	
dsp	192	
composed	191	
principle	191	
edge	191	
nature	190	
file	190	
parallelism	190	
dependency	190	
stack	189	
idea	189	
indicate	189	
today	189	
streaming	189	
relative	188	
practice	188	
migration	188	
satisfy	187	
successfully	187	
battery	187	
particularly	186	
validation	186	
becomes	186	
length	186	
automotive	186	
whose	185	
solve	185	
garbage	185	
ip	185	
consideration	184	
isolation	184	
gain	184	
combined	184	
fact	183	
density	182	
met	182	
definition	182	
performs	181	
operator	180	
initial	180	
call	180	
employ	180	
analog	180	
np	179	
schedulable	179	
apply	179	
map	179	
admission	179	
accelerator	179	
tight	178	
rtsj	178	
light	177	
whole	177	
speedup	177	
difference	176	
faster	176	
adopted	176	
dvs	176	
easy	175	
share	175	
dependent	175	
overview	175	
construction	175	
precise	175	
short	174	
filtering	174	
vector	174	
adapt	173	
availability	173	
limit	173	
mpeg	173	
radio	173	
dre	173	
moving	172	
chain	172	
taken	172	
instance	172	
probabilistic	172	
encoding	172	
modification	172	
sample	172	
thermal	172	
classification	171	
abstract	171	
synthesis	171	
