keyword	count	label	order	related
time	16742	relevant	0	
system	16127	relevant	506	
real	10471	noise		
task	6485	relevant	708	
application	5966	relevant	848	
based	5841	noise		
algorithm	5473	relevant	916	
data	5012	relevant	1004	
model	4707	relevant	1091	
scheduling	3950	keyword	1167	
performance	3950	relevant	1269	
approach	3795	noise		
analysis	3584	relevant	1297	
design	3368	relevant	1340	
control	3261	relevant	1381	
network	2990	keyword	1451	
method	2935	noise		
used	2912	noise		
proposed	2891	noise		
result	2840	noise		
technique	2631	noise		
architecture	2622	noise		
problem	2588	noise		
resource	2552	relevant	1508	
level	2482	noise		
processor	2468	relevant	1559	
high	2442	noise		
software	2433	relevant	1606	
implementation	2419	noise		
case	2373	noise		
distributed	2343	keyword	1636	
execution	2318	noise		
simulation	2269	noise		
image	2096	relevant	1659	
different	2079	noise		
processing	2035	relevant	1693	
use	2025	noise		
requirement	2012	noise		
service	2008	relevant	1722	
memory	2006	relevant	1742	
embedded	1998	keyword	1783	
object	1925	relevant	1795	
set	1849	noise		
component	1837	relevant	1823	
process	1819	relevant	1831	
timing	1803	relevant	1836	
deadline	1755	keyword	1857	
hardware	1718	keyword	1897	
communication	1714	keyword	1912	
constraint	1680	keyword	1934	
environment	1662	noise		
energy	1662	keyword	1941	
number	1604	noise		
priority	1592	keyword	1968	
dynamic	1580	keyword	2019	
scheme	1571	noise		
propose	1549	noise		
work	1541	relevant	2039	
platform	1525	relevant	2042	
first	1499	noise		
protocol	1491	relevant	2056	
support	1490	noise		
however	1460	noise		
framework	1458	noise		
power	1446	relevant	2073	
information	1439	noise		
development	1415	noise		
test	1410	noise		
rate	1406	relevant	2102	
experiment	1398	noise		
provide	1392	noise		
order	1367	noise		
well	1358	noise		
video	1343	relevant	2127	
event	1342	relevant	2146	
presented	1304	noise		
study	1300	noise		
solution	1300	noise		
schedulability	1298	keyword	2156	
developed	1294	noise		
multi	1260	noise		
efficient	1230	noise		
many	1230	noise		
bound	1229	keyword	2171	
device	1219	relevant	2198	
end	1213	noise		
cache	1187	keyword	2208	
present	1185	noise		
computing	1168	noise		
mechanism	1156	noise		
implemented	1142	noise		
low	1140	noise		
management	1140	noise		
state	1138	noise		
tool	1136	noise		
program	1110	noise		
quality	1106	noise		
worst	1100	noise		
core	1089	keyword	2236	
non	1088	noise		
technology	1087	noise		
user	1081	noise		
feature	1074	noise		
sensor	1060	relevant	2250	
may	1059	noise		
provides	1057	noise		
code	1048	noise		
cost	1042	noise		
specification	1038	noise		
critical	1036	relevant	2258	
multiple	1035	noise		
hard	1031	noise		
need	1002	noise		
node	1002	noise		
standard	980	noise		
several	957	noise		
existing	955	noise		
guarantee	953	keyword	2270	
fault	952	keyword	2274	
language	946	noise		
behavior	943	noise		
complexity	939	keyword	2289	
allows	934	noise		
access	929	noise		
delay	923	keyword	2296	
run	921	noise		
important	920	noise		
speed	918	noise		
property	916	noise		
operation	914	noise		
signal	900	relevant	2305	
experimental	893	keyword	2320	
due	891	noise		
computation	883	relevant	2324	
operating	878	noise		
message	873	noise		
designed	871	noise		
make	868	noise		
parallel	857	noise		
called	856	noise		
compared	854	noise		
qos	854	keyword	2328	
server	850	keyword	2336	
global	850	noise		
within	848	noise		
function	836	relevant	2345	
detector	826	relevant	2351	
overhead	823	keyword	2356	
trigger	822	noise		
single	815	noise		
given	811	noise		
space	809	noise		
interface	803	relevant	2365	
response	802	relevant	2369	
issue	800	noise		
research	797	noise		
fpga	791	keyword	2371	
parameter	790	noise		
complex	788	noise		
wcet	777	keyword	2378	
optimal	776	keyword	2384	
current	776	noise		
computer	775	relevant	2391	
address	773	noise		
change	767	noise		
possible	764	noise		
utilization	762	noise		
consumption	762	noise		
without	760	noise		
programming	751	relevant	2399	
multiprocessor	749	keyword	2414	
must	747	noise		
area	744	noise		
part	739	noise		
evaluation	733	noise		
size	728	noise		
policy	718	noise		
available	718	noise		
reduce	710	noise		
chip	710	relevant	2421	
condition	708	noise		
modeling	702	relevant	2423	
novel	702	noise		
specific	694	noise		
three	690	noise		
achieve	688	noise		
term	687	noise		
scheduler	683	relevant	2431	
various	682	noise		
line	681	noise		
mobile	681	noise		
point	679	relevant	2436	
required	678	noise		
static	677	keyword	2443	
example	674	noise		
describe	673	noise		
wireless	673	keyword	2449	
temporal	672	relevant	2458	
detection	672	relevant	2470	
schedule	671	keyword	2479	
general	666	noise		
applied	664	noise		
periodic	663	keyword	2481	
channel	663	noise		
module	663	noise		
fixed	657	keyword	2483	
main	657	noise		
flow	657	relevant	2486	
mode	655	noise		
context	654	noise		
virtual	653	relevant	2491	
structure	651	noise		
thus	647	noise		
bandwidth	645	keyword	2500	
fast	642	noise		
frame	640	noise		
java	638	keyword	2508	
demonstrate	633	noise		
challenge	629	noise		
digital	629	noise		
way	622	noise		
source	622	noise		
cpu	622	relevant	2512	
error	622	relevant	2514	
block	619	noise		
acquisition	616	noise		
computational	612	noise		
concept	611	noise		
transaction	610	keyword	2518	
oriented	607	noise		
strategy	606	noise		
describes	605	noise		
domain	603	noise		
middleware	603	keyword	2519	
efficiency	598	relevant	2522	
controller	595	noise		
range	593	noise		
significant	591	noise		
better	588	noise		
improve	587	noise		
monitoring	585	noise		
since	585	noise		
increase	584	noise		
value	583	noise		
optimization	582	keyword	2525	
scale	580	noise		
safety	579	keyword	2530	
medium	578	noise		
type	576	noise		
discus	573	noise		
integrated	573	noise		
meet	572	noise		
even	570	noise		
kernel	567	keyword	2533	
capability	565	noise		
input	565	noise		
demand	563	relevant	2537	
focus	562	noise		
known	560	noise		
frequency	558	relevant	2538	
particular	556	noise		
latency	555	noise		
simple	554	noise		
synchronization	553	keyword	2547	
edf	550	keyword	2554	
database	548	keyword	2562	
field	548	relevant	2564	
limited	546	noise		
second	546	noise		
clock	545	keyword	2565	
among	541	noise		
allocation	540	relevant	2570	
key	537	noise		
class	536	noise		
often	536	noise		
unit	534	noise		
workload	531	keyword	2573	
traffic	531	relevant	2575	
shared	528	noise		
measurement	527	noise		
pattern	525	relevant	2580	
methodology	522	relevant	2588	
period	519	keyword	2589	
mean	518	noise		
configuration	517	noise		
machine	516	relevant	2593	
us	514	noise		
addition	513	noise		
motion	512	relevant	2598	
significantly	511	noise		
job	510	keyword	2601	
therefore	509	noise		
previous	507	noise		
advantage	507	noise		
verification	504	relevant	2606	
average	503	noise		
running	502	noise		
path	499	noise		
purpose	499	noise		
layer	499	noise		
require	497	noise		
adaptive	494	keyword	2608	
thread	494	keyword	2609	
target	492	noise		
multimedia	492	keyword	2613	
evaluate	489	noise		
local	488	relevant	2615	
small	486	noise		
like	486	noise		
stream	485	relevant	2616	
effective	484	noise		
best	482	noise		
able	481	noise		
load	481	keyword	2618	
preemptive	480	keyword	2624	
including	479	noise		
implement	479	noise		
estimation	479	noise		
develop	478	noise		
physical	476	noise		
requires	474	noise		
resolution	474	relevant	2634	
failure	473	noise		
generation	473	noise		
improvement	472	noise		
described	471	noise		
online	469	keyword	2638	
link	469	noise		
traditional	468	noise		
le	465	noise		
higher	465	noise		
characteristic	465	noise		
instruction	464	relevant	2639	
accuracy	464	noise		
obtained	462	noise		
considered	462	noise		
factor	461	noise		
aspect	460	noise		
transmission	455	keyword	2644	
tracking	455	noise		
camera	452	relevant	2647	
packet	451	keyword	2649	
phase	450	noise		
reliability	449	keyword	2653	
request	448	noise		
performed	448	noise		
providing	446	noise		
effect	445	noise		
increasing	445	noise		
finally	442	noise		
take	441	noise		
provided	440	noise		
show	438	noise		
allow	434	noise		
board	434	noise		
distribution	432	noise		
necessary	431	noise		
integration	428	noise		
prototype	426	relevant	2655	
common	421	noise		
filter	421	noise		
bit	418	noise		
related	416	noise		
step	415	noise		
science	415	noise		
recent	413	noise		
achieved	412	noise		
extension	409	noise		
maximum	408	noise		
perform	408	noise		
soft	406	keyword	2656	
defined	406	noise		
scenario	405	noise		
interaction	402	noise		
introduce	401	noise		
goal	401	noise		
decision	400	noise		
functional	400	relevant	2660	
amount	399	noise		
give	398	noise		
lead	397	noise		
runtime	394	keyword	2668	
sequence	394	noise		
formal	393	keyword	2669	
search	393	noise		
via	392	noise		
throughput	391	keyword	2674	
highly	390	noise		
self	389	noise		
scheduled	389	noise		
future	389	noise		
pixel	388	relevant	2675	
feasibility	385	keyword	2676	
criticality	383	keyword	2679	
linear	381	noise		
wide	379	noise		
benefit	379	noise		
discussed	378	noise		
overall	378	noise		
needed	378	noise		
world	378	noise		
consider	377	noise		
form	375	noise		
consists	373	noise		
open	372	noise		
aware	371	noise		
suitable	370	noise		
bus	370	keyword	2683	
impact	369	noise		
offer	368	noise		
according	367	noise		
driven	365	noise		
loop	365	noise		
output	365	noise		
proposes	365	noise		
linux	365	keyword	2685	
lower	364	noise		
prediction	364	noise		
group	364	noise		
reduction	364	noise		
vision	364	relevant	2687	
furthermore	363	noise		
agent	362	noise		
voltage	362	noise		
array	359	noise		
web	359	noise		
functionality	358	noise		
project	358	noise		
triggered	357	noise		
infrastructure	357	noise		
enables	356	noise		
evaluated	355	noise		
industrial	355	noise		
mapping	355	noise		
much	355	noise		
version	354	noise		
introduced	353	noise		
predictable	353	noise		
activity	353	noise		
art	352	noise		
independent	351	noise		
testing	351	relevant	2691	
security	351	keyword	2692	
cluster	351	relevant	2694	
coding	351	relevant	2696	
view	350	noise		
sporadic	349	keyword	2698	
efficiently	349	noise		
heterogeneous	349	keyword	2699	
major	348	noise		
author	346	noise		
full	346	noise		
graph	346	noise		
modern	344	noise		
